Rank,Title,Artist,Album
1,Golden,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast & HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
2,뛰어(JUMP),BLACKPINK & BLACKPINK,뛰어(JUMP)
3,Soda Pop,KPop Demon Hunters Cast & Danny Chung & Saja Boys & Andrew Choi & Neckwav & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast & Danny Chung & Saja Boys & Andrew Choi & Neckwav & Kevin Woo & samUIL Lee,KPop Demon Hunters (Soundtrack from the Netflix Film)
4,FAMOUS,ALLDAY PROJECT & ALLDAY PROJECT,FAMOUS
5,Drowning,WOODZ & WOODZ,OO-LI
6,시작의 아이 ❍,박다혜 & 마크툽 (MAKTUB) & 박다혜 & 마크툽 (MAKTUB),시작의 아이 ❍ ハジマリのコ Starting With You : ♡
7,Dirty Work,aespa & aespa,Dirty Work
8,시작의 아이,마크툽 (MAKTUB) & 마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You)
9,너에게 닿기를,10CM & 10CM,너에게 닿기를
10,Your Idol,KPop Demon Hunters Cast & Danny Chung & Saja Boys & Andrew Choi & Neckwav & Kevin Woo & samUIL Lee & KPop Demon Hunters Cast & Danny Chung & Saja Boys & Andrew Choi & Neckwav & Kevin Woo & samUIL Lee,KPop Demon Hunters (Soundtrack from the Netflix Film)
11,어제보다 슬픈 오늘,우디 (Woody) & 우디 (Woody),어제보다 슬픈 오늘
12,WICKED,ALLDAY PROJECT & ALLDAY PROJECT,FAMOUS
13,모르시나요(PROD.로코베리),조째즈 & 조째즈,모르시나요
14,Whiplash,aespa & aespa,Whiplash - The 5th Mini Album
15,XOXZ,IVE (아이브) & IVE (아이브),IVE SECRET
16,like JENNIE,제니 (JENNIE) & 제니 (JENNIE),Ruby
17,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON & G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
18,운명 (2025),먼데이 키즈 & 이이경 & 먼데이 키즈 & 이이경,먼키의 발자국 Vol.1 With 이이경
19,청춘만화,이무진 & 이무진,만화 (滿花)
20,Never Ending Story,아이유 & 아이유,꽃갈피 셋
21,How It’s Done,HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast & HUNTR/X & EJAE & AUDREY NUNA & REI AMI & KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
22,나는 반딧불,황가람 & 황가람,나는 반딧불
23,REBEL HEART,IVE (아이브) & IVE (아이브),IVE EMPATHY
24,빌려온 고양이 (Do the Dance),아일릿(ILLIT) & 아일릿(ILLIT),bomb
25,APT.,로제 (ROSÉ) & Bruno Mars & 로제 (ROSÉ) & Bruno Mars,APT.
26,TOO BAD (feat. Anderson .Paak),G-DRAGON & G-DRAGON,Übermensch
27,HAPPY,DAY6 (데이식스) & DAY6 (데이식스),Fourever
28,STYLE,Hearts2Hearts (하츠투하츠) & Hearts2Hearts (하츠투하츠),STYLE
29,천상연,이창섭 & 이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
30,한 페이지가 될 수 있게,DAY6 (데이식스) & DAY6 (데이식스),The Book of Us : Gravity
31,오늘만 I LOVE YOU,BOYNEXTDOOR & BOYNEXTDOOR,오늘만 I LOVE YOU
32,눈물참기,QWER & QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'"
33,사랑은 늘 도망가,임영웅 & 임영웅,신사와 아가씨 OST Part.2
34,소나기,이클립스 (ECLIPSE) & 이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
35,내게 사랑이 뭐냐고 물어본다면,로이킴 & 로이킴,내게 사랑이 뭐냐고 물어본다면
36,toxic till the end,로제 (ROSÉ) & 로제 (ROSÉ),rosie
37,LIKE YOU BETTER,프로미스나인 & 프로미스나인,From Our 20's
38,Supernova,aespa & aespa,Armageddon - The 1st Album
39,HANDS UP,MEOVV (미야오) & MEOVV (미야오),MY EYES OPEN VVIDE
40,멸종위기사랑,이찬혁 & 이찬혁,EROS
41,Die With A Smile,Lady Gaga & Bruno Mars & Lady Gaga & Bruno Mars,Die With A Smile
42,Welcome to the Show,DAY6 (데이식스) & DAY6 (데이식스),Fourever
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) & AKMU (악뮤),항해
44,Flower,오반(OVAN) & 오반(OVAN),교회오빠
45,예뻤어,DAY6 (데이식스) & DAY6 (데이식스),Every DAY6 February
46,MY LOVE(2025),이예은 & 아샤트리 & 전건호 & 이예은 & 아샤트리 & 전건호,MY LOVE(2025)
47,여름이었다,H1-KEY (하이키) & H1-KEY (하이키),H1-KEY 4th Mini Album [Lovestruck]
48,우리들의 블루스,임영웅 & 임영웅,IM HERO
49,I AM,IVE (아이브) & IVE (아이브),I've IVE
50,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection) & 너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
51,첫 만남은 계획대로 되지 않아,TWS (투어스) & TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
52,고민중독,QWER & QWER,1st Mini Album 'MANITO'
53,천국보다 아름다운,임영웅 & 임영웅,천국보다 아름다운
54,내 이름 맑음,QWER & QWER,2nd Mini Album 'Algorithm's Blossom'
55,ATTITUDE,IVE (아이브) & IVE (아이브),IVE EMPATHY
56,Hype Boy,NewJeans & NewJeans,NewJeans 1st EP 'New Jeans'
57,Free,EJAE & KPop Demon Hunters Cast & Andrew Choi & Rumi & Jinu & EJAE & KPop Demon Hunters Cast & Andrew Choi & Rumi & Jinu,KPop Demon Hunters (Soundtrack from the Netflix Film)
58,DRIP,BABYMONSTER & BABYMONSTER,DRIP
59,다시 만날 수 있을까,임영웅 & 임영웅,IM HERO
60,Magnetic,아일릿(ILLIT) & 아일릿(ILLIT),SUPER REAL ME
61,HOT,LE SSERAFIM (르세라핌) & LE SSERAFIM (르세라핌),HOT
62,"TAKEDOWN (JEONGYEON, JIHYO, CHAEYOUNG)",TWICE (트와이스) & TWICE (트와이스),KPop Demon Hunters (Soundtrack from the Netflix Film)
63,청혼하지 않을 이유를 못 찾았어,이무진 & 이무진,청혼하지 않을 이유를 못 찾았어
64,너의 모든 순간,성시경 & 성시경,별에서 온 그대 OST Part.7
65,Supersonic,프로미스나인 & 프로미스나인,Supersonic
66,How Sweet,NewJeans & NewJeans,How Sweet
67,주저하는 연인들을 위해,잔나비 & 잔나비,전설
68,Love wins all,아이유 & 아이유,The Winning
